图录号(ABCD),禁止出关(BCD),中文作者,中文名称(ABCD),中文作者二,中文名称二( B),中文年代(ABC),中文材质(AB),中文签名(A),题识钤印(AB),中文出版(ABC),中文展览(ABC),中文来源(AB),中文描述(ABCD),中文纪录（BC),中文著录（B),中文款识（C),中文收藏（C),中文参阅 C,英文作者(AB),英文名称(ABCD),英文年代(ABC),英文材质(AB),英文签名(AB),英文出版(AC),英文展览(AC),英文来源(AC),英文参阅（C),尺寸(ABC),估价(ABCD)
301,,陆抑非,原上鹡鸰,王福厂,节录《玉台新咏序》,18.8×51 cm. 约0.86平尺,成扇 设色洒金笺,,正面：仿明人边景昭《原上鹡鸰图》，抑非写，时庚寅（1950年）春二月也。 钤印：陆翀、抑非父<br>背面：（文略）节录《玉台新咏序》。仲经先生法家属正，辛卯（1951年）夏，持默翁王福厂。<br>钤印：持默翁、福厂七十后书、麋研斋,,,,上款“仲经”即近代刻竹名家庞仲经（1895-1953），字祥生，江苏苏州人，善刻竹，精于选材。扇骨由庞仲经亲自雕制，应为其自珍赏玩之物。一面摹刻夔凤豆器形、鱼冶妊鼎铭文，款“夔凤豆。鱼冶妊鼎铭”，落“仲经作于方壶馆”印章。另面雕陶釜铭文并铜镜、瓦当形，款“汉馆陶釜铭。唐元卿竟”，落“鹿门山樵”印章。金石文字均为陷地阳文，且采用沙地、胡桃地等变换，摹刻苍古的腐蚀感，逼真传神。,,,,,,LU YIFEI AND WANG FU'AN,BIRD PERCHING ON A ROCK,,"Folding fan, ink and color on gold-flecked paper.","Signed Yifei, with two seals of the artist.",,,,,18.8×51 cm. 约0.86平尺,"8,000-10,000"
302,,蔡铣,双面绘扇,,,18.2×51.5 cm. 约0.85平尺,成扇 设色洒金笺,,正面：1.春庭晓艳。壬申仲冬，模周少谷意，写似娑罗花馆主人雅鉴，铣。2.笔下花开久，盆栽未易留。今朝重复见，不觉十余秋。甲申（1944年）秋日，娑罗花馆主人雅属，蔡铣又题。 钤印：震渊、蔡铣<br>背面：赤城霞起。唐解元折枝山桃，白云外史寿平。<br>钤印：震渊,,,,上款“娑罗花馆主人”即吴似兰（1908-1964），字绿野，江苏苏州人，吴子深弟。工画，擅摄影，曾任苏州美专国画系校董兼教授。1932年组“娑罗画社”，因得希世名卉娑罗花一枝，故以之为画社名，参加者有张星阶、吴待秋、王季迁等，多次在苏州、上海等地举办展览，影响深远。,,,,,,CAI XIAN ,PAINTINGS,1932,"Folding fan, ink and color on gold-flecked paper.","Signed by Cai Xian, dated renshen,1932, with a dedication and two seals of the artist.",,,,,18.2×51.5 cm. 约0.85平尺," 10,000-15,000"
303,,花 元,梨花眷侣,马公愚,节临王献之《八月十九日帖》,18.3×50.5 cm. 约0.83平尺,成扇 设色纸本,,正面：帘外春寒苦，梨云冻不飞。乌衣偏爱洁，偷换雪罗衣。录咏玉楼句，即请敢夫砚兄正教，甲申（1944年）蒲午，劼庵弟花元写。<br>钤印：劼盦、东平<br>背面：（文略）敢夫先生大雅属正，永嘉马公愚。<br>钤印：公愚书画、冷翁、书画传家二百年,,,,是箑两面均以淡绿渲染底色，烘托出白色的梨花及雀鸟，和谐统一，格调清雅，在书画扇中少见。<br>上款“敢夫”即赵士果，字敢夫，江苏常熟人，民国间任律师职，家藏邹元标为其先祖所书《赵用贤传并书后》卷，后捐国家，今藏常熟博物馆。,,,,,,HUA YUAN AND MA GONGYU,PEACH BLOSSOM AND BIRDS,,"Folding fan, ink and color on paper.","Signed Hua Yuan, with two seals of the artist.",,,,,18.3×50.5 cm. 约0.83平尺,"6,000-8,000"
304,,陆抑非,栀子翠鸟,吴 徵,袁枚《春柳》,18.5×51 cm. 约0.85平尺,成扇 设色洒金笺,,正面：用周服卿笔作写生法，庶几新态而不失古意。乙酉夏日，抑非居士陆翀。 钤印：抑非父<br>背面：灵和殿里旧心情，移种江南百感生。腰折难禁春雨重，花高易惹晚风惊。也知上苑长离别，不管何人且送迎。听说轻狂听恼懒，乱梳头发过清明。袁子才《春柳诗》。振辉先生大雅正之，乙酉夏六月，抱鋗吴徵。<br>钤印：待秋、东园,,,,上款“振辉”即程门雪（1902-1972），名振辉，号壶公，江西婺源人。著名中医，民国年间悬壶沪上，曾任上海中医学院院长。工作之余，雅好书画诗词。,,,,,,LU YIFEI AND WU ZHENG,A BIRD AND WHITE FLOWER,1945,"Folding fan, ink and color on gold-flecked paper.","Signed Lu Chong, dated yiyou,1945, with one seal of the artist.",,,,,18.5×51 cm. 约0.85平尺," 50,000-70,000"
305,,赵叔孺,山茶寒禽,王福厂,节录《西都赋》,20.1×57 cm. 约1平尺,成扇 设色纸本,,正面：拟孙雪居册，以应仲允仁兄雅属，癸酉秋日，赵叔孺。<br>钤印：赵、叔孺<br>背面：其宫室也，体象乎天地，经纬乎阴阳。据坤灵之正位，仿太紫之圆方。树中天之华阙，丰冠山之朱堂。因瑰材而究奇，抗应龙之虹梁。列棼橑以布翼，荷栋桴而高骧。雕玉瑱以居楹，裁金璧以饰当。发五色之渥彩，光焰朗以景彰。于是左墄右平，重轩三阶。闺房周通，门阘洞开。列钟虡于中庭，立金人于端闱。仍增厓而衡阈，临峻路而启扉。节录班孟坚《西都赋》。仲允先生属篆，癸酉新秋，福厂王禔。<br>钤印：福厂五十后书、右军后人,,,,"扇骨为近代竹刻名家张石友雕制。一面刻古钱二种，落“张”、“石友”印；另面刻古铜镜，款“容臣先生雅正，己巳（1929年）春日，张石友作。”落“简斋”印,造型准确，得古朴厚重之趣。扇骨上款“容臣”即张嘉保，字容臣，上海人，实业家，民国间于沪上经营上海棉花油厂。",,,,,,ZHAO SHURU AND WANG FU'AN,BIRD AND CAMELLIA,1933,"Folding fan, ink and color on paper.","Signed Zhao Shuru, dated guiyou,1933, with a dedication and two seals of the artist.",,,,,20.1×57 cm. 约1平尺," 50,000-70,000"
306,,江寒汀,书画合璧扇,,,18.3×50.3 cm. 约0.83平尺,成扇 设色纸本,,正面：壬辰之秋七月既望，寒汀作于海上。<br>钤印：寒汀<br>背面：霜花苍苍虫切切，村南村北行人绝。独出前门望野田，月明荞麦花如雪。闇虫唧唧夜绵绵，况是秋阴欲雨天。犹恐愁人暂得睡，声声移近卧床前。寒汀。<br>钤印：江寒汀,,,,,（香港）荣宝斋、协联古玩拍卖会，1995年6月18日，编号231,,,,,JIANG HANTING ,PAINTING AND CALLIGRAPHY,1952,"Folding fan, ink and color on paper, ink on paper.","Signed Hanting, dated renchen,1952, with one seal of the artist.",,,,,18.3×50.3 cm. 约0.83平尺," 60,000-80,000"
307,,陆抑非,梅竹多喜,王福厂,临《陈侯因彝铭文》,19.5×55 cm. 约0.97平尺,成扇 设色发笺,,正面：仿宋人吉祥画意，似觉弥先生鉴家雅正，己卯七夕，抑非居士陆翀制。<br>钤印：抑非居士<br>背面：（文略）临《陈侯因彝铭文》，应觉弥先生大法家之属，己卯孟秋之月，福厂王禔。<br>钤印：王禔、福厂六十后书、麋研斋,《虚怀斋藏中国书画精品集》第262页，保利艺术博物馆，2010年11月,“虚怀斋藏中国书画精品展”，保利艺术博物馆，2010年11月3日至8日,,《梅竹多喜》作于1939年七夕，画取山涧一角，湍流潺潺，松、梅自右侧巨石后探出，丛丛竹叶点缀其间，群鹊或飞或栖，顾盼鸣叫，题材皆取意吉祥，画中热闹嬉戏的喜鹊或正是为筑鹊桥而来，为陆抑非赠予沪上名流姬觉弥的应时应景之作。背面王福厂书法署花押式款，亦属少见。<br>上款“觉弥”即姬觉弥（1885-1964），江苏睢宁人。早年服务于犹太富商哈同处，任哈同花园大总管、哈同洋行经理、仓圣明智大学校长等职，爱好书法，曾资助徐悲鸿就读上海震旦大学。,,,,,,LU YIFEI AND WANG FU'AN,AUSPICIOUS PATTERN,1939,"Folding fan, ink and color on paper.","Signed by Lu Yifei, dated jimao,1939, with a dedication and one seal of the artist.",,,,,19.5×55 cm. 约0.97平尺," 250,000-320,000"
308,,吴徵,书画合璧扇,,,18.7×51 cm. 约0.86平尺,成扇 设色洒金笺,,正面：青士苍官，与石交欢。联三益友，盟岁之寒。赓祥先生大雅正之，癸未夏四月，抱鋗居士吴徵。<br>钤印：待秋、老鋗<br>背面：归去寻阿宾，阿宾亦可人。公家廿一弟，超脱是其伦。天不孤生物，有辀必有轮。狂态诚可取，其若头上巾。气嘘为风，云流为水。人之小人，天之君子。鸭不能飞，蚓不能跃。枭哭非愁，鸾歌非乐。无日升天，天卑于渊。无日瞰渊，渊高于天。即佛即圣，非儒非禅。袁中郎诗，赓祥先生正腕，老鋗吴徵。<br>钤印：待秋、东园,,,,扇骨为竹刻名家花剑南刻乃兄花元画稿，一面刊高士读书，款“读书秋树根，劼盦画，剑南刊”，落“花”印；另面刻高士赏竹，款“好竹连山觉笋香，劼盦画”，落“元”印。扇骨两面题材、构图如出一辙，自低至高刊刻石、人物、竹木，但朝向相对，如同镜像一般，极富巧思。此类镜像图式，系双面刻绘画扇骨的一种特殊安排，饶有意趣。扇骨的树石用刀较深，凸显出画面的层次；人物须发雕制细致入微，极见精心。,,,,,,WU ZHENG ,PAINTING AND CALLIGRAPHY,1943,"Folding fan, ink and color on gold-flecked paper.","Signed Wu Zheng, dated 1943, with two seals of the artist.",,,,,18.7×51 cm. 约0.86平尺,"8,000-10,000"
309,,陆抑非,书画合璧扇,,,18.6×49.5 cm. 约0.83平尺,成扇 设色纸本,,正面：岁寒有竹梅，相依谁与共。幸哉小鸟来，啁唧助清弄。莲舫先生雅正。庚寅夏日，抑非。<br>钤印：陆翀印<br>背面：东雅堂前沸管弦，徐卿载降启华筵。行藏已践知非境，肉帛还遭养年老。盛德从来惟厚点，遐龄此去似长川。白头野老欣相祝，为赋豳风介寿篇。莲舫先生雅属，抑非。 钤印：抑非书画、河南,,,,,,,,,,LU YIFEI ,PAINTING AND CALLIGRAPHY,1950,"Folding fan, ink and color on paper.","Signed Yifei, dated gengyin,1950, with a dedication and one seal of the artist.",,,,,18.6×49.5 cm. 约0.83平尺," 80,000-100,000"
310,,江寒汀,柳阴双燕,叶祥本,王初诗二首,18.4×50.5 cm. 约0.84平尺,成扇 设色纸本,,正面：曾见周服卿有此本，豪洲仁兄雅正，寒汀。<br>钤印：江荻<br>背面：（文略）豪洲仁兄先生属，戊寅（1938年）夏日，叶祥本。<br>钤印：胥母山民叶祥本之印,,,,叶祥本，字元卿，号胥母山民，江苏苏州人。工书画、篆刻，辑有《兰禅印存》，藏碑帖甚富。,上海拍卖会，2004年4月13日，编号1039,,,,,JIANG HANTING AND YE XIANGBEN,TWO SWALLOWS,,"Folding fan, ink and color on paper.","Signed Hanting, with a dedication and one seal of the artist.",,,,,18.4×50.5 cm. 约0.84平尺," 30,000-40,000"
